Computer_Idn,SystemPerformance_Idn,MemScore,CPUScore,GraphicsScore,GamingScore,DiskScore
4660,4078,9.1,9.1,5.8,9.9,8.15
4663,4090,8.5,8.5,5.9,9.9,8.75
4664,4089,8.8,8.8,6.7,9.9,9.2
4668,4343,7.8,7.7,6.2,9.9,9.25
4672,4334,7.9,7.7,6.6,9.9,9.25
4675,4706,8,7.6,6.7,9.9,9.25
4684,4386,9.1,9.1,8.4,9.9,8.8
4688,4062,7.9,7.6,6.6,9.9,8.15
4689,4102,7.8,7.6,8.1,9.9,8.55
4697,4118,7.9,7.6,5.9,9.9,9.2
4702,4416,8.9,8.9,4.9,9.9,9
4706,4115,8.4,8.4,8,9.9,8.95
4707,4322,7.6,7.2,7.1,7.1,5.9
4708,4654,9.1,9.1,8.4,9.9,8.8
4720,4158,8,7.6,6.9,9.9,9.15
4723,4085,7.9,7.6,6.8,9.9,8.15
4738,4202,9.1,9.1,8,9.9,8.8
4739,4196,9,9,8,9.9,8.75
4745,4259,8.7,8.7,6.5,9.9,8.15
4748,4394,7.9,7.6,6.8,9.9,8.2
4750,4303,8.7,8.7,4.9,9.9,8.2
4754,4161,9.1,9.1,8,9.9,8.75
4757,4715,8.8,8.8,6.5,9.9,8.2
4759,4136,8.8,8.8,6.8,9.9,8.15
4766,4127,7.8,7.5,6.1,9.9,8.15
4779,4141,8.7,8.7,8.4,9.9,5.9
4782,4177,9.1,9.1,8.4,9.9,9.25
4789,4176,8.8,8.8,6.6,9.9,9.05
4794,4939,7.5,7.5,4.9,9.9,8.1
4813,4499,8.8,8.8,6.7,9.9,9.15
4819,4189,7.6,7.6,5.1,9.9,8.2
4820,4519,9.1,9.1,6.1,9.9,8.5
4828,4678,9.1,9.1,8,9.9,9.1
4831,4230,8.7,8.7,6.3,9.9,5.9
4843,4331,9.1,9.1,8,9.9,8.8
4844,4210,9.1,9.1,7.7,9.9,8.15
4845,4234,8.8,8.8,6.9,9.9,8.1
4852,4344,8.8,8.8,6.8,9.9,8.1
4853,5191,8.9,8.9,5.6,9.9,8.95
4855,4249,8.8,8.8,5.8,9.9,9.15
4881,4309,9.1,9.1,8,9.9,8.15
4883,4204,8.5,8.5,8.4,9.9,8.9
4891,4346,9.1,9.1,7.3,9.9,8.15
4894,4212,8.4,8.4,8,9.9,9.1
4895,4910,8.8,8.8,6.6,9.9,8.35
4899,4216,7.7,7.7,6.6,6.6,7.9
4910,4220,8.3,8.3,6.6,9.9,8.1
4917,4357,7.8,7.8,5.9,9.9,8.1
4918,4223,7.8,7.6,5.2,9.9,8.2
4922,4225,7.4,7.3,5.2,5.5,5.9
4925,4238,7.6,7.1,6.5,6.5,7.9
4928,4228,7.6,7.3,5.9,6.6,7.9
4933,4231,7.9,7.6,6.6,9.9,8.2
4940,4906,8.8,8.8,6.7,9.9,9.15
4941,4293,7.8,7.6,6.6,9.9,9.15
4942,4631,8.2,8.2,6.4,9.9,8.9
4945,4237,7.5,7.5,8.1,9.9,5.9
4949,4711,7.8,7.6,8.1,9.9,8.55
4950,4242,7.4,7.3,5.7,9.9,8.15
4969,4282,8.7,8.7,5.9,9.9,8.2
4983,4250,7.6,7.5,6.9,9.9,8.15
5006,4285,8.7,8.7,6.3,9.9,8.2
