Computer_Idn,Type,MhzSpeed,ProcCount,Stepping,ID,Vendor,SLSignature,Model,ProcIndex,ProcType,ProcFamily,ProcVersion,MaxSpeed,CurrSpeed,ProcUpgrade,FRUGrpIndex,OPGrpIndex,ProcSerialNum,OverdriveUpgrade,VirtModeExt,PageSizeExt,TimeStampCnt,ModelRegisters,PhysAddrExt,MachChkExcept,CMPXCHG8BInstSppt,APIC,MemoryTypeRangeReg,PageGlobalEnable,MachineCheckArch,CondMoveInstr,MMX,HyperThreading,GlobalPageEnable,LeaseExp,ProcCnt,Speed,FeatureID,FeatureStepping,DHCPServ,Architecture,ProcLevel,Revision,AllocGran,ProcessorPhysicalCount,ExternalClockSpeed,CoresPerPkg,EM64T,ExecDisable,CacheSize,TotalCores
200,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,2200,1,4H,06D4H,GenuineIntel,198356,D,NULL,NULL,NULL,NULL,2700 MHz,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
201,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,2200,1,4H,06D4H,GenuineIntel,198356,D,NULL,NULL,NULL,NULL,2700 MHz,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
202,Intel(R) Core(TM) i7-4710MQ CPU @ 2.50GHz,2500,1,3H,06C3H,GenuineIntel,198339,C,NULL,NULL,NULL,NULL,3700 MHz,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,4,Yes,Yes,NULL,NULL
205,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,2400,1,1H,0651H,GenuineIntel,263761,5,NULL,NULL,NULL,NULL,2400 MHz,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
214,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,2200,1,4H,06D4H,GenuineIntel,198356,D,NULL,NULL,NULL,NULL,2700 MHz,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
245,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,2200,1,4H,06D4H,GenuineIntel,198356,D,NULL,NULL,NULL,NULL,2200,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
272,Intel(R) Core(TM) i7-4600U CPU @ 2.10GHz,2700,1,1H,0651H,GenuineIntel,263761,5,NULL,NULL,NULL,NULL,2100 MHz,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
276,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,2200,1,4H,06D4H,GenuineIntel,198356,D,NULL,NULL,NULL,NULL,2200,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
284,Intel(R) Xeon(R) CPU E3-1505M v5 @ 2.80GHz,2800,1,3H,06E3H,GenuineIntel,329443,E,NULL,NULL,NULL,NULL,8300 MHz,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,4,Yes,Yes,NULL,NULL
289,AMD Opteron(tm) Processor 6176,2300,1,1H,0F91H,AuthenticAMD,1052561,9,NULL,NULL,NULL,NULL,30000 MHz,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Yes,Yes,NULL,NULL
290,AMD Opteron(tm) Processor 6176,2300,2,1H,0F91H,AuthenticAMD,1052561,9,NULL,NULL,NULL,NULL,30000 MHz,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,Yes,Yes,NULL,NULL
302,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,2200,1,4H,06D4H,GenuineIntel,198356,D,NULL,NULL,NULL,NULL,2700 MHz,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
