Computer_Idn,Manufacturer,Chipset,NumSlots,FRUGrpIndex,OPGrpIndex,MaxCPU,ProductName,MBVersion,SerialNum,BusSpeed,PCISlots,PCISlotsAvail
302,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.5B,PEVMN00WB210BZ,1600,1,1
308,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.54,PEVDQ00WB8Z0D9,1600,1,1
312,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.5B,PEVMN00WB9G02F,1600,1,1
321,NULL,NULL,NULL,NULL,NULL,1866,NULL,NULL,NULL,667,0,0
322,Intel Corporation,NULL,NULL,NULL,NULL,2400,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
325,Hewlett-Packard,NULL,NULL,NULL,NULL,2601,22DA,KBC Version 92.15,PENEU00WB9V2OQ,1600,1,1
328,Hewlett-Packard,NULL,NULL,NULL,NULL,2601,22DA,KBC Version 92.15,PENEU00WB9U0KC,1600,1,1
335,Dell Inc.,NULL,NULL,NULL,NULL,2533,0DPRKF,A04,..CN1374017N0025.,1333,0,0
336,Intel Corporation,NULL,NULL,NULL,NULL,2200,440BX Desktop Reference Platform,NULL,NULL,NULL,4,1
339,LENOVO,NULL,NULL,NULL,NULL,2401,20BS003LFR,SDK0E50510 WIN,W1KS51Z110A,1600,0,0
341,Intel Corporation,NULL,NULL,NULL,NULL,1695,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
344,Intel Corporation,NULL,NULL,NULL,NULL,2594,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
345,Intel Corporation,NULL,NULL,NULL,NULL,2199,440BX Desktop Reference Platform,NULL,NULL,NULL,4,1
350,Intel Corporation,NULL,NULL,NULL,NULL,2400,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
351,LENOVO,NULL,NULL,NULL,NULL,2801,20BG0044UK,SDK0E50510 WIN,W1KS4B511AT,1600,0,0
357,Intel Corporation,NULL,NULL,NULL,NULL,2400,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
358,Hewlett-Packard,NULL,NULL,NULL,NULL,2601,22DA,KBC Version 92.12,PENEU00WD7P1L3,1600,1,1
362,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.54,PEVEA00WB8T1ZL,1600,1,1
372,Hewlett-Packard,NULL,NULL,NULL,NULL,2601,18DF,KBC Version 62.17,PDPCH001X5ZIZ3,1600,1,1
378,LENOVO,NULL,NULL,NULL,NULL,2601,20BE004EUS,0B98401 Pro,W1KS47811CT,1600,0,0
380,Hewlett-Packard,NULL,NULL,NULL,NULL,2601,22DA,KBC Version 92.15,PENEU00WB9V1D3,1600,1,1
383,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,225A,KBC Version 96.5B,PEVDF00WB9W0QJ,1600,1,1
388,LENOVO,NULL,NULL,NULL,NULL,2594,20BE004EUS,0B98401 Pro,W1KS44G1072,1600,0,0
393,Hewlett-Packard,NULL,NULL,NULL,NULL,2501,198F,KBC Version 15.55,PDXVC00WB8H9RU,1600,1,1
399,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.5B,PEVMN00WB1555I,1600,1,1
400,LENOVO,NULL,NULL,NULL,NULL,2801,20BG0044UK,SDK0E50510 Pro,W1KS47P10BA,1600,0,0
401,Intel Corporation,NULL,NULL,NULL,NULL,2200,440BX Desktop Reference Platform,NULL,NULL,NULL,4,1
402,Intel Corporation,NULL,NULL,NULL,NULL,2594,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
406,Intel Corporation,NULL,NULL,NULL,NULL,2400,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
408,Intel Corporation,NULL,NULL,NULL,NULL,2200,440BX Desktop Reference Platform,NULL,NULL,NULL,4,1
411,Hewlett-Packard,NULL,NULL,NULL,NULL,2601,22DA,KBC Version 92.15,PENEU00WB9V2LM,1600,1,1
418,Hewlett-Packard,NULL,NULL,NULL,NULL,2601,22DA,KBC Version 92.17,PENEU00WB9H3W5,1600,1,1
421,LENOVO,NULL,NULL,NULL,NULL,2601,20BE004EUS,0B98401 Pro,W1KS45X10NF,1600,0,0
422,LENOVO,NULL,NULL,NULL,NULL,2594,20BS0031US,SDK0E50510 WIN,W1KS63C139Z,1600,0,0
425,Parallels Software International Inc.,NULL,NULL,NULL,NULL,2700,Parallels Virtual Platform,NULL,NULL,667,5,NULL
437,Intel Corporation,NULL,NULL,NULL,NULL,2400,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
448,Intel Corporation,NULL,NULL,NULL,NULL,2200,440BX Desktop Reference Platform,NULL,NULL,NULL,4,1
449,LENOVO,NULL,NULL,NULL,NULL,2395,24384KU,Win8 Pro DPK TPG,1ZSF535S2JF,1600,0,0
451,LENOVO,NULL,NULL,NULL,NULL,2901,2344BPU,Win8 Pro DPK TPG,1ZSP03C70ME,1600,0,0
455,Hewlett-Packard,NULL,NULL,NULL,NULL,2701,22DA,KBC Version 92.14,PENEV00WB9G090,1600,1,1
456,Intel Corporation,NULL,NULL,NULL,NULL,2594,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
457,LENOVO,NULL,NULL,NULL,NULL,2712,20EN002QUS,SDK0J40697 WIN,L1HF65400JK,2133,0,0
459,Hewlett-Packard,NULL,NULL,NULL,NULL,2701,22DA,KBC Version 92.12,PENEV00WB7T2XD,1600,1,1
464,Intel Corporation,NULL,NULL,NULL,NULL,2200,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
475,LENOVO,NULL,NULL,NULL,NULL,2808,20FB005WUS,SDK0J40705 WIN,W1KS65D10LN,1867,0,0
476,LENOVO,NULL,NULL,NULL,NULL,2601,2392AQU,Win8 Pro DPK TPG,1ZSF437F4G0,1600,0,0
478,LENOVO,NULL,NULL,NULL,NULL,2701,20A7002QUS,SDK0E50510 Pro,W1KS46J15J5,1600,0,0
481,LENOVO,NULL,NULL,NULL,NULL,2601,2392AQU,Win8 Pro DPK TPG,1ZLV22B66GT,1600,0,0
484,LENOVO,NULL,NULL,NULL,NULL,2801,20EF000NUS,SDK0E50510 WIN,W1KS61B10TJ,1600,0,0
485,LENOVO,NULL,NULL,NULL,NULL,2794,20EF000MUS,SDK0E50510 WIN,W1KS54P114D,1600,0,0
491,Intel Corporation,NULL,NULL,NULL,NULL,2400,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
496,Intel Corporation,NULL,NULL,NULL,NULL,2594,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
506,Hewlett-Packard,NULL,NULL,NULL,NULL,2601,22DA,KBC Version 92.17,PENEU00WB8O0MS,1600,1,1
509,Intel Corporation,NULL,NULL,NULL,NULL,2400,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
515,Dell Inc.,NULL,NULL,NULL,NULL,3325,0Y960C,A00,..CN70821049B0OZ.,800,2,2
516,Intel Corporation,NULL,NULL,NULL,NULL,2200,440BX Desktop Reference Platform,NULL,NULL,NULL,4,1
518,Intel Corporation,NULL,NULL,NULL,NULL,2200,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
519,LENOVO,NULL,NULL,NULL,NULL,2601,2392AQU,0B98401 Pro,1ZSF43CK26N,1600,0,0
522,LENOVO,NULL,NULL,NULL,NULL,2601,20BE004EUS,0B98401 Pro,W1KS47D10H8,1600,0,0
525,LENOVO,NULL,NULL,NULL,NULL,2694,20A70037US,SDK0E50510 WIN,W1KS49N10P3,1600,0,0
526,Intel Corporation,NULL,NULL,NULL,NULL,2200,440BX Desktop Reference Platform,NULL,NULL,NULL,4,1
527,LENOVO,NULL,NULL,NULL,NULL,2594,20BS0035US,SDK0E50510 WIN,W1KS55B12BB,1600,0,0
528,Intel Corporation,NULL,NULL,NULL,NULL,2200,440BX Desktop Reference Platform,NULL,NULL,NULL,4,1
533,Hewlett-Packard,NULL,NULL,NULL,NULL,2701,213E,KBC Version 24.2C,PEAEE3AWR8R06N,1600,1,1
536,Intel Corporation,NULL,NULL,NULL,NULL,2400,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
539,Hewlett-Packard,NULL,NULL,NULL,NULL,2601,22DA,KBC Version 92.17,PENEU00WB9V2OY,1600,1,1
