Computer_Idn,AssetTag,ServiceTag,ExpressServiceCode,SerialNum,Model,ModelNum,Manufacturer,ChassisType,SalesOrderNumber,ManufactureDate,SystemVersion,HasBattery,CmmGuid,CmmSnmpPort,CmmSlimPort,CmmLocation,IPMIVersion,BMCFirmwareVersion,SDRVersion,SDRFile,SDRPackage,SDRTimeStamp,AMTVersion,ChassisName,BoardName,BackplaneVersion,ESMVersion,OpenManageSupport,OpenManageSupportedComponenets,OpenManageAdministratorVersion,AgentlessInstall,FirmwareVersion,PlatformVersion,BootMode,SupportEndDate,WillAutoRenew,ModelNumber
2369,NULL,VMware-42 34 8e cb df 7f 11 58-83 db b1 c0 79 5b 38 30,1024448542608655645421352841488344334871914485090006977788478105191147133651610763264,VMware-42 34 8e cb df 7f 11 58-83 db b1 c0 79 5b 38 30,VMware Virtual Platform,NULL,"VMware, Inc.",Other,NULL,NULL,None,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VMware Virtual Platform,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2371,NULL,PC0CU2Q6,1985247049038,PC0CU2Q6,20CLCTO1WW,NULL,LENOVO,Notebook,NULL,NULL,ThinkPad X250,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20CLCTO1WW,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2374,5CG538697K,5CG538697K,542918007896096,5CG538697K,HP EliteBook 840 G2,NULL,Hewlett-Packard,Notebook,NULL,NULL,A3009D510303,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteBook 840 G2,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2376,CZC513057F,CZC513057F,1318409646174555,CZC513057F,HP EliteDesk 800 G1 SFF,NULL,Hewlett-Packard,Low Profile Desktop,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteDesk 800 G1 SFF,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2378,5CG530427G,5CG530427G,542917994356780,5CG530427G,HP EliteBook 840 G2,NULL,Hewlett-Packard,Notebook,NULL,NULL,A3009D510303,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteBook 840 G2,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2379,5CG602408S,5CG602408S,542919993097276,5CG602408S,HP EliteBook 820 G2,NULL,Hewlett-Packard,Notebook,NULL,NULL,A3009D510303,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteBook 820 G2,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2383,NULL,CND6412F0N,1284637046376839,CND6412F0N,HP ZBook 15 G3,NULL,HP,Notebook,NULL,NULL,KBC Version 10.64,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP ZBook 15 G3,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2384,5CG6023YM0,5CG6023YM0,542919993095160,5CG6023YM0,HP EliteBook 820 G2,NULL,Hewlett-Packard,Notebook,NULL,NULL,A3009D510303,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteBook 820 G2,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2388,NULL,R90KY2QR,2135458653795,R90KY2QR,20FB005WUS,NULL,LENOVO,Notebook,NULL,NULL,ThinkPad X1 Carbon 4th,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20FB005WUS,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2389,NULL,VMware-42 35 0f 1e 4e cd 29 a0-ab 2b 2b 61 d7 a1 77 8e,1024448542608655600000000000000000000000000000000000000000000000000000000000000000000,VMware-42 35 0f 1e 4e cd 29 a0-ab 2b 2b 61 d7 a1 77 8e,VMware Virtual Platform,NULL,"VMware, Inc.",Other,NULL,NULL,None,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VMware Virtual Platform,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2392,NULL,VMware-42 34 e7 eb 2f 9b ec f8-09 60 fa 86 99 99 d1 28,1024448542608655645421352841488344334871914485090006977788478105191147133651610763264,VMware-42 34 e7 eb 2f 9b ec f8-09 60 fa 86 99 99 d1 28,VMware Virtual Platform,NULL,"VMware, Inc.",Other,NULL,NULL,None,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VMware Virtual Platform,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2393,NULL,VMware-42 34 4b 39 43 38 84 15-fb ac 70 e9 7c 1c d0 a3,1024448542608655645421352841488344334871914485090006977788478105191147133651610763264,VMware-42 34 4b 39 43 38 84 15-fb ac 70 e9 7c 1c d0 a3,VMware Virtual Platform,NULL,"VMware, Inc.",Other,NULL,NULL,None,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VMware Virtual Platform,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2394,NULL,VMware-42 34 21 2b 7e 10 4d 1c-75 28 ab 1c b2 3c 88 77,1024448542608655645421352841488344334871914485090006977788478105191147133651610763264,VMware-42 34 21 2b 7e 10 4d 1c-75 28 ab 1c b2 3c 88 77,VMware Virtual Platform,NULL,"VMware, Inc.",Other,NULL,NULL,None,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VMware Virtual Platform,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2395,NULL,CZ210808MG,1317617245340584,CZ210808MG,ProLiant DL385 G7,NULL,HP,Rack Mount Chassis,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ProLiant DL385 G7,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2396,NULL,6C7V4X1,13799498149,6C7V4X1,OptiPlex 9010,NULL,Dell Inc.,Mini Tower,NULL,NULL,01,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,OptiPlex 9010,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2398,5CG530425N,5CG530425N,542917994356715,5CG530425N,HP EliteBook 840 G2,NULL,Hewlett-Packard,Notebook,NULL,NULL,A3009D510303,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteBook 840 G2,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2400,NULL,MJ0385LG,1765375893844,MJ0385LG,30A7000TUS,NULL,LENOVO,Tower,NULL,NULL,ThinkStation P500,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30A7000TUS,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2407,NULL,R90BABE5,2135442428717,R90BABE5,20A7005JUK,NULL,LENOVO,Notebook,NULL,NULL,ThinkPad X1 Carbon 2nd,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20A7005JUK,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2409,NULL,CND5334QXY,1284634812596326,CND5334QXY,HP ZBook 15 G2,NULL,Hewlett-Packard,Notebook,NULL,NULL,A3009CD10002,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP ZBook 15 G2,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2425,5CG61531P7,5CG61531P7,542920058557531,5CG61531P7,HP EliteBook 840 G2,NULL,Hewlett-Packard,Notebook,NULL,NULL,A3009D510303,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteBook 840 G2,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2426,5CG53868KH,5CG53868KH,542918007895265,5CG53868KH,HP EliteBook 840 G2,NULL,Hewlett-Packard,Notebook,NULL,NULL,A3009D510303,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteBook 840 G2,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2428,5CD651065D,5CD651065D,542685201077281,5CD651065D,HP EliteBook Folio 1040 G3,NULL,HP,Notebook,NULL,NULL,KBC Version 01.72,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteBook Folio 1040 G3,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2435,CW019847,PC06YXQ8,1985237198144,PC06YXQ8,20BUS0VE18,NULL,LENOVO,Notebook,NULL,NULL,ThinkPad T450,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20BUS0VE18,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2445,5CG53503V8,5CG53503V8,542918002570388,5CG53503V8,HP EliteBook 840 G2,NULL,Hewlett-Packard,Notebook,NULL,NULL,A3009D510303,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteBook 840 G2,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2446,5CG5310CTT,5CG5310CTT,542917995863537,5CG5310CTT,HP EliteBook 840 G2,NULL,Hewlett-Packard,Notebook,NULL,NULL,A3009D510303,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteBook 840 G2,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2450,5CG53037DM,5CG53037DM,542917994316826,5CG53037DM,HP EliteBook 840 G2,NULL,Hewlett-Packard,Notebook,NULL,NULL,A3009D510303,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteBook 840 G2,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2451,NULL,NULL,NULL,C02SH3W3G8WP,MacBook Pro,NULL,Apple Computer Inc.,"MacBookPro11,5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
